Original Atom Name -> New Atom Name
CORE
C007 C001
H028 H002
O008 O003
H029 H004
C009 C005
H030 H006
H031 H007
N010 N008
H032 H009
C011 C010
N012 N011
C013 C012
H033 H013
N014 N014
C015 C015
C016 C016
C022 C017
H039 H018
C006 C019
C002 C020
H024 H021
C003 C022
H025 H023
C004 C024
H026 H025
C017 C026
H034 H027
C021 C028
H038 H029
C005 C030
H027 H031
C001 C032
H023 H033

SITE 1 site1_sub1 (from 1)
C018 C034
H035 H035
C019 C036
H036 H037
C020 C038
H037 H039

SITE 1 site1_sub2 (from 2)
C018 C040
H036 H041
C019 C042
C021 C043
H040 H044
C020 C045
H037 H046
H038 H047
H039 H048

SITE 1 site1_sub3 (from 3)
C018 C049
H037 H050
C019 C051
C022 C052
H043 H053
C020 C054
H038 H055
H039 H056
C021 C057
H040 H058
H041 H059
H042 H060

SITE 1 site1_sub4 (from 4)
C018 C061
H038 H062
C019 C063
C023 C064
H046 H065
C020 C066
H039 H067
C022 C068
H043 H069
H044 H070
H045 H071
C021 C072
H040 H073
H041 H074
H042 H075

SITE 1 site1_sub5 (from 5)
C018 C076
H039 H077
C019 C078
C024 C079
H049 H080
C020 C081
C023 C082
H046 H083
H047 H084
H048 H085
C022 C086
H043 H087
H044 H088
H045 H089
C021 C090
H040 H091
H041 H092
H042 H093

SITE 1 site1_sub6 (from 6)
C018 C094
H039 H095
C019 C096
C024 C097
H040 H098
C020 C099
F023 F100
F022 F101
F021 F102


