Original Atom Name -> New Atom Name
CORE
O001 O001
H023 H002
C002 C003
H024 H004
C003 C005
H025 H006
H026 H007
N004 N008
H027 H009
C005 C010
C006 C011
H028 H012
C007 C013
C008 C014
N014 N015
C015 C016
H034 H017
N016 N018
C017 C019
C022 C020
H039 H021

SITE 1 site1_sub1 (from 1)
C009 C022
H029 H023
C010 C024
H030 H025
C011 C026
H031 H027
C012 C028
H032 H029
C013 C030
H033 H031

SITE 1 site1_sub2 (from 31)
C004 C032
H028 H033
C008 C034
H030 H035
C010 C036
C023 C037
F027 F038
F026 F039
F025 F040
C009 C041
CL024 Cl0A
C006 C042
H029 H043
LP1 LP0B

SITE 1 site1_sub3 (from 2)
C004 C044
H028 H045
C003 C046
H027 H047
C002 C048
C023 C049
H042 H050
C022 C051
H041 H052
C001 C053
H024 H054
H025 H055
H026 H056

SITE 1 site1_sub4 (from 3)
C005 C057
H031 H058
C004 C059
H030 H060
C003 C061
C024 C062
H045 H063
C023 C064
H044 H065
C002 C066
H028 H067
H029 H068
C001 C069
H025 H070
H026 H071
H027 H072

SITE 1 site1_sub5 (from 4)
C006 C073
H034 H074
C005 C075
H033 H076
C004 C077
C025 C078
H048 H079
C024 C080
H047 H081
C002 C082
H029 H083
C003 C084
H030 H085
H031 H086
H032 H087
C001 C088
H026 H089
H027 H090
H028 H091

SITE 1 site1_sub6 (from 5)
C007 C092
H037 H093
C006 C094
H036 H095
C005 C096
C026 C097
H051 H098
C025 C099
H050 H100
C002 C101
C004 C102
H033 H103
H034 H104
H035 H105
C003 C106
H030 H107
H031 H108
H032 H109
C001 C110
H027 H111
H028 H112
H029 H113

SITE 1 site1_sub7 (from 6)
C009 C114
H033 H115
C010 C116
H034 H117
C011 C118
C016 C119
H035 H120
C017 C121
H036 H122
C012 C123
F015 F124
F014 F125
F013 F126

SITE 1 site1_sub8 (from 7)
C005 C127
H029 H128
C004 C129
H028 H130
C003 C131
C024 C132
H043 H133
C023 C134
H042 H135
O002 O136
C001 C137
H025 H138
H026 H139
H027 H140

SITE 1 site1_sub9 (from 8)
C006 C141
H032 H142
C005 C143
H031 H144
C004 C145
C025 C146
H046 H147
C024 C148
H045 H149
O003 O150
C002 C151
H029 H152
H030 H153
C001 C154
H026 H155
H027 H156
H028 H157

SITE 1 site1_sub10 (from 9)
C009 C158
H035 H159
C010 C160
H036 H161
C011 C162
C018 C163
H039 H164
C019 C165
H040 H166
O012 O167
C013 C168
H037 H169
H038 H170
C014 C171
F017 F172
F016 F173
F015 F174

SITE 1 site1_sub11 (from 10)
C005 C175
H029 H176
C004 C177
H028 H178
C003 C179
C024 C180
H043 H181
C023 C182
H042 H183
S002 S184
C001 C185
H025 H186
H026 H187
H027 H188

SITE 1 site1_sub12 (from 11)
C006 C189
H032 H190
C005 C191
H031 H192
C004 C193
C025 C194
H046 H195
C024 C196
H045 H197
S003 S198
C002 C199
H029 H200
H030 H201
C001 C202
H026 H203
H027 H204
H028 H205

SITE 1 site1_sub13 (from 12)
C009 C206
H034 H207
C010 C208
H035 H209
C011 C210
C017 C211
H036 H212
C018 C213
H037 H214
S012 S215
C013 C216
F016 F217
F015 F218
F014 F219

SITE 1 site1_sub14 (from 13)
C010 C220
H030 H221
C011 C222
H031 H223
C012 C224
C013 C225
H032 H226
C014 C227
H033 H228
CL001 Cl0C
LP1 LP0D

SITE 1 site1_sub15 (from 14)
C009 C229
H030 H230
C010 C231
H031 H232
C011 C233
C013 C234
H032 H235
C014 C236
H033 H237
F012 F238

SITE 1 site1_sub16 (from 15)
C005 C239
H026 H240
C004 C241
H025 H242
C003 C243
C024 C244
H040 H245
C023 C246
H039 H247
C002 C248
N001 N249

SITE 1 site1_sub17 (from 16)
C005 C250
H029 H251
C004 C252
H028 H253
C003 C254
H027 H255
C002 C256
C023 C257
H042 H258
C001 C259
H024 H260
H025 H261
